https://www.CryptoDataDownload.com,,,,,,,
unix,date,symbol,open,high,low,close,Volume BTC
1649018940000,2022-04-03 20:49:00,BTC/USDT,46415.88,46415.88,46414.94,46414.94,5.41204
1649018880000,2022-04-03 20:48:00,BTC/USDT,46448.63,46448.64,46412.5,46415.87,6.71072
1649018820000,2022-04-03 20:47:00,BTC/USDT,46448.2,46448.64,46448.2,46448.64,3.74391
1649018760000,2022-04-03 20:46:00,BTC/USDT,46444.26,46450.53,46441.69,46448.21,4.60566
1649018700000,2022-04-03 20:45:00,BTC/USDT,46446.12,46450.92,46444.25,46444.26,5.06412
1649018640000,2022-04-03 20:44:00,BTC/USDT,46438.28,46448.41,46438.28,46446.12,4.29596
1649018580000,2022-04-03 20:43:00,BTC/USDT,46427.23,46438.29,46427.23,46438.28,3.63465
1649018520000,2022-04-03 20:42:00,BTC/USDT,46445.38,46445.38,46427.23,46427.23,11.07795
1649018460000,2022-04-03 20:41:00,BTC/USDT,46474.3,46482.33,46445.37,46445.38,31.43743
1649018400000,2022-04-03 20:40:00,BTC/USDT,46450.01,46474.31,46450,46474.3,5.86026
1649018340000,2022-04-03 20:39:00,BTC/USDT,46458,46463.61,46445.35,46450.01,5.27106
1649018280000,2022-04-03 20:38:00,BTC/USDT,46454.22,46458,46453.81,46457.99,6.43132
1649018220000,2022-04-03 20:37:00,BTC/USDT,46439.52,46454.23,46437.79,46454.23,6.60169
1649018160000,2022-04-03 20:36:00,BTC/USDT,46451.01,46451.01,46436.36,46439.52,10.49899
1649018100000,2022-04-03 20:35:00,BTC/USDT,46457.29,46460.9,46451,46451.01,6.00908
1649018040000,2022-04-03 20:34:00,BTC/USDT,46439.17,46463.48,46439.17,46457.29,13.05317
1649017980000,2022-04-03 20:33:00,BTC/USDT,46460.39,46463.48,46437.57,46439.18,15.30837
1649017920000,2022-04-03 20:32:00,BTC/USDT,46457.49,46463.48,46457.48,46460.39,5.1862
1649017860000,2022-04-03 20:31:00,BTC/USDT,46466.76,46466.76,46455.91,46457.49,5.91404
1649017800000,2022-04-03 20:30:00,BTC/USDT,46461.68,46478.87,46461.67,46466.76,12.41974
1649017740000,2022-04-03 20:29:00,BTC/USDT,46455.33,46461.68,46454.5,46461.68,6.59666
1649017680000,2022-04-03 20:28:00,BTC/USDT,46433.65,46458,46433.51,46455.32,8.71383
1649017620000,2022-04-03 20:27:00,BTC/USDT,46455.94,46455.94,46425.68,46433.64,7.9168
1649017560000,2022-04-03 20:26:00,BTC/USDT,46456.4,46461.5,46455.93,46455.94,4.77571
1649017500000,2022-04-03 20:25:00,BTC/USDT,46396.57,46458,46396.56,46456.39,16.09231
1649017440000,2022-04-03 20:24:00,BTC/USDT,46391.41,46396.57,46391.41,46396.57,7.34115
1649017380000,2022-04-03 20:23:00,BTC/USDT,46408.56,46408.56,46390,46391.41,6.11053
1649017320000,2022-04-03 20:22:00,BTC/USDT,46410.47,46410.48,46407.6,46408.56,3.91581
1649017260000,2022-04-03 20:21:00,BTC/USDT,46412.49,46414.33,46410.47,46410.47,4.35728
1649017200000,2022-04-03 20:20:00,BTC/USDT,46414.99,46419.43,46410.53,46412.5,8.03447
1649017140000,2022-04-03 20:19:00,BTC/USDT,46415.25,46415.26,46413.5,46415,5.47618
1649017080000,2022-04-03 20:18:00,BTC/USDT,46415.91,46416,46415.25,46415.25,7.1071
1649017020000,2022-04-03 20:17:00,BTC/USDT,46410.46,46415.84,46410.46,46415.84,17.89626
1649016960000,2022-04-03 20:16:00,BTC/USDT,46409,46410.47,46409,46410.47,5.24075
1649016900000,2022-04-03 20:15:00,BTC/USDT,46412.9,46412.91,46407.01,46409.01,4.20812
1649016840000,2022-04-03 20:14:00,BTC/USDT,46411.56,46413,46405.5,46412.9,7.06293
1649016780000,2022-04-03 20:13:00,BTC/USDT,46411.31,46422.7,46411,46411.55,5.36965
1649016720000,2022-04-03 20:12:00,BTC/USDT,46411.56,46411.57,46410.69,46411.31,4.77615
1649016660000,2022-04-03 20:11:00,BTC/USDT,46391.96,46411.57,46391.96,46411.56,9.33992
1649016600000,2022-04-03 20:10:00,BTC/USDT,46410.26,46410.26,46376.99,46391.96,34.67666
1649016540000,2022-04-03 20:09:00,BTC/USDT,46433.49,46433.5,46410.25,46410.26,14.7233
1649016480000,2022-04-03 20:08:00,BTC/USDT,46421.47,46433.5,46417.3,46433.5,7.37523
1649016420000,2022-04-03 20:07:00,BTC/USDT,46419.19,46437.02,46415.23,46421.48,10.07228
1649016360000,2022-04-03 20:06:00,BTC/USDT,46412.5,46419.2,46412.5,46419.2,6.65189
1649016300000,2022-04-03 20:05:00,BTC/USDT,46408.15,46416,46403.81,46412.51,4.19277
