https://www.CryptoDataDownload.com,,,,,,,
unix,date,symbol,open,high,low,close,Volume BTC
1645985640000,2022-02-27 18:14:00,BTC/USDT,38956.14,38974.23,38941,38966.94,8.96842
1645985580000,2022-02-27 18:13:00,BTC/USDT,38944.51,38970.71,38936.19,38956.14,11.14212
1645985520000,2022-02-27 18:12:00,BTC/USDT,38906.65,38947.36,38894.68,38944.51,7.32962
1645985460000,2022-02-27 18:11:00,BTC/USDT,38885.68,38912.71,38863.66,38906.64,12.67861
1645985400000,2022-02-27 18:10:00,BTC/USDT,38896.99,38897,38854.38,38885.68,28.77834
1645985340000,2022-02-27 18:09:00,BTC/USDT,38886.24,38907.94,38881.31,38896.99,12.9558
1645985280000,2022-02-27 18:08:00,BTC/USDT,38876.24,38923.44,38852.69,38886.24,23.11507
1645985220000,2022-02-27 18:07:00,BTC/USDT,38809.35,38876.26,38800,38876.24,41.82959
1645985160000,2022-02-27 18:06:00,BTC/USDT,38856.34,38869.46,38807.79,38807.79,29.94402
1645985100000,2022-02-27 18:05:00,BTC/USDT,38892.71,38922.02,38847.62,38856.33,35.18567
1645985040000,2022-02-27 18:04:00,BTC/USDT,38923.45,38923.46,38871.19,38892.71,54.30788
1645984980000,2022-02-27 18:03:00,BTC/USDT,38938.75,38946.89,38923.45,38923.46,7.80031
1645984920000,2022-02-27 18:02:00,BTC/USDT,38935.04,38944.55,38906.7,38938.75,26.29675
1645984860000,2022-02-27 18:01:00,BTC/USDT,38991.11,38991.12,38933.74,38935.04,10.15878
1645984800000,2022-02-27 18:00:00,BTC/USDT,38969.7,38992.78,38944.08,38991.12,21.19259
1645984740000,2022-02-27 17:59:00,BTC/USDT,38978.67,38989,38969.7,38969.71,17.1755
1645984680000,2022-02-27 17:58:00,BTC/USDT,38998.08,39001.89,38973.26,38978.66,7.11983
1645984620000,2022-02-27 17:57:00,BTC/USDT,39000.57,39000.58,38990.64,38998.08,3.64238
1645984560000,2022-02-27 17:56:00,BTC/USDT,39013.83,39013.84,39000,39000.57,4.38067
1645984500000,2022-02-27 17:55:00,BTC/USDT,38991.98,39017.08,38962.98,39013.83,11.27654
